img,movie_name,year,genre,Overview,Director,Actor1,Actor2,Actor3,Actor4
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mulk,(I) (2018),Drama,One family member tries to help her own family which are trapped in a dark controversy.,Anubhav Sinha,Taapsee Pannu,Rishi Kapoor,Neena Gupta,Ashutosh Rana
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Friendship,-2008,"Comedy, Drama, Romance","Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart.",Tarun Mansukhani,Abhishek Bachchan,John Abraham,Priyanka Chopra Jonas,Kirron Kher
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Pardes,-1997,"Drama, Musical, Romance","Kishorilal wants an Indian bride for his westernised son. He gets him engaged to Ganga, his friend's daughter, and brings her to USA. But she shares a deeper bond with Arjun, Kishorilal's foster son.",Subhash Ghai,Shah Rukh Khan,Mahima Chaudhry,Amrish Puri,Apoorva Agnihotri
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,October,(II) (2018),"Drama, Romance",A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?,Shoojit Sircar,Varun Dhawan,Banita Sandhu,Gitanjali Rao,Sahil Vedoliyaa
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Karwaan,-2018,"Adventure, Comedy, Drama",Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,Akarsh Khurana,Irrfan Khan,Dulquer Salmaan,Mithila Palkar,Amala Akkineni
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Hasee Toh Phasee,-2014,"Comedy, Romance","Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.",Vinil Mathew,Sidharth Malhotra,Parineeti Chopra,Adah Sharma,Manoj Joshi
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Satya,-1998,"Action, Crime, Drama",An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,Ram Gopal Varma,J.D. Chakravarthi,Manoj Bajpayee,Urmila Matondkar,Paresh Rawal
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Dhamaal,-2007,"Action, Adventure, Comedy","Four lazy slacker conmen buddies who are jobless, homeless and broke learn about the secret of a hidden treasure from a dying thief and later embark on a race against time to find the mobster's buried treasure and claim it while being pursued by a determined police inspector who is hellbent to get the treasure all by himself.",Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi,Javed Jaffrey
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Tanu Weds Manu,-2011,"Comedy, Drama, Romance","Manu comes to India to find a bride for himself and falls for Tanu at first sight but Tanu, a free spirited girl has no plans of marrying him.",Aanand L. Rai,Madhavan,Kangana Ranaut,Jimmy Sheirgill,Deepak Dobriyal
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Hungama,-2003,"Comedy, Drama, Romance","The story of a bunch of misfits whose misconception about each others backgrounds end up in a series of chaotic, yet comic outcomes.",Priyadarshan,Akshaye Khanna,Aftab Shivdasani,Rimi Sen,Paresh Rawal
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Heyy Babyy,-2007,"Comedy, Drama",Three bachelors who are compulsive womanizers find their lives turned upside down when a baby is left at their doorstep. The trio suspect each other of being the father.,Sajid Khan,Akshay Kumar,Fardeen Khan,Riteish Deshmukh,Vidya Balan
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Madaari,-2016,"Adventure, Drama, Thriller","When Nirmal loses his family in a disaster caused by government corruption, he embarks on a journey seeking accountability and revenge.",Nishikant Kamat,Irrfan Khan,Jimmy Sheirgill,Vishesh Bansal,Tushar Dalvi
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Housefull 2,-2012,"Action, Comedy, Musical",A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,Sajid Khan,Akshay Kumar,John Abraham,Asin Thottumkal,Jacqueline Fernandez
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Race,(I) (2008),"Action, Crime, Drama",Destiny makes two brothers- Ranvir and Rajiv - enemies of each other. Everything is fair in love and war.,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Akshaye Khanna,Bipasha Basu
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ashoka the Great,-2001,"Action, Biography, Drama",The epic tale of King Asoka's life is recounted.,Santosh Sivan,Shah Rukh Khan,Kareena Kapoor,Danny Denzongpa,Hrishitaa Bhatt
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Hum Tum,-2004,"Comedy, Drama, Romance",A novel look at the eternal battle of the sexes and the trials and tribulations of Karan and Rhea and their attempts to understand each other.,Kunal Kohli,Saif Ali Khan,Rani Mukerji,Kirron Kher,Rati Agnihotri
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Cocktail,-2012,"Comedy, Drama, Romance","A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.",Homi Adajania,Saif Ali Khan,Deepika Padukone,Diana Penty,Dimple Kapadia
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jaane Bhi Do Yaaro,-1983,"Comedy, Crime, Drama","Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light.",Kundan Shah,Naseeruddin Shah,Ravi Baswani,Bhakti Barve,Satish Shah
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Psycho Raman,-2016,"Crime, Drama, Thriller","Ramanna, a maniac murderer, finds a soulmate in Raghavan, a policeman, who inspects his murder cases. He tries to make Raghavan realize how they both are similar.",Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala,Mukesh Chhabra
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shaadi Mein Zaroor Aana,-2017,"Drama, Romance","Satyendra Mishra ""Rajkumar Rao"" and Aarti Shukla ""Kriti Kharbanda"" agree to get married arranged by their parents, after Satyendra Mishra get government job. Aarti Shukla, run away from their marriage. What life waits for them ahead?",Ratnaa Sinha,Rajkummar Rao,Kriti Kharbanda,K.K. Raina,Alka Amin
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Karan Arjun,-1995,"Action, Drama, Fantasy",Karan and Arjun reincarnate in the different parts of the country. But the faith of their previous mother brings them together in order to avenge their death.,Rakesh Roshan,Rakhee Gulzar,Salman Khan,Shah Rukh Khan,Amrish Puri
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Desi Boyz,-2011,"Comedy, Drama","Two friends lose their jobs, then part bitterly after they get exposed as male strippers.",Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone,Chitrangda Singh
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ajab Prem Ki Ghazab Kahani,-2009,"Action, Comedy, Romance","The wacky adventures of a young man who is willing to sacrifice his own love to insure the happiness of others, and get the girl-of-his-dreams married to the boy-of-her-dreams.",Rajkumar Santoshi,Ranbir Kapoor,Katrina Kaif,Darshan Jariwala,Smita Jaykar
"https://m.media-amazon.com/images/M/MV5BMDlkMmRkM2QtYmZiMi00NWYzLThmMjEtN2IwMTNhMDFkODA0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",Housefull,-2010,"Comedy, Romance","Believing himself to be jinxed, a man attempts to find true love, but instead gets caught in a web of lies.",Sajid Khan,Akshay Kumar,Deepika Padukone,Riteish Deshmukh,Lara Dutta
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Section 375,-2019,"Crime, Drama, Mystery","A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence.",Ajay Bahl,Akshaye Khanna,Richa Chadha,Rahul Bhatt,Meera Chopra
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Vaastav: The Reality,-1999,"Action, Crime, Drama",Consequences force an innocent man to get involved in crime after making an error.,Mahesh Manjrekar,Sanjay Dutt,Namrata Shirodkar,Reema Lagoo,Shivaji Satam
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Paheli,-2005,"Comedy, Drama, Fantasy",A folk tale - supernatural love story about a ghost who falls in love with a newlywed woman.,Amol Palekar,Shah Rukh Khan,Rani Mukerji,Anupam Kher,Naseeruddin Shah
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Yes Boss,-1997,"Comedy, Drama, Musical","Rahul Joshi wants to be a successful businessman so he works hard for his boss Siddharth. One day Rahul meets Seema, an up and coming model, and he feels like he's finally met his match. Will Seema fall for Rahul?",Aziz Mirza,Shah Rukh Khan,Juhi Chawla,Aditya Pancholi,Kashmira Shah
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Dhobi Ghat,-2010,Drama,"The lives of four people intersect in Mumbai: a washer-man who wants to become an actor, a banker-turned-photographer, a painter looking for inspiration, and a newly-married immigrant who journals her experiences on home video.",Kiran Rao,Prateik,Monica Dogra,Kriti Malhotra,Aamir Khan
